;OPCODE					MNEMONIC		BYTES		CYCLES					FLAGS		DESCRIPTION
1110110110000010			inim			2		2F+1R+1W+1				?*-?-?*?	A byte from port .reg8[1;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1] and .reg8[1;1] are incremented and .reg8[0;1] is decremented.
1110110110001010			indm			2		2F+1R+1W+1				?*-?-?*?	A byte from port .reg8[1;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1], .reg8[0;1], and .reg8[1;1] are decremented.
1110110110010010			inimr			2		2F+(1R+1W+1)*b				-*----*-	A byte from port .reg8[1;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1] and .reg8[1;1] are incremented .reg8[0;1] and is decremented. If .reg8[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110110011010			indmr			2		2F+(1R+1W+1)*b				-*----*-	A byte from port .reg8[1;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1], .reg8[0;1], and .reg8[1;1] are decremented. If .reg8[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110110100010			ini			2		2F+1R+1W+1				-*----*-	A byte from port .reg16[0;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1] is incremented and .reg8[0;1] is decremented.
1110110110101010			ind			2		2F+1R+1W+1				-*----*-	A byte from port .reg16[0;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1] and .reg8[0;1] are decremented.
1110110110110010			inir			2		2F+(1R+1W+1)*b				-*----*-	A byte from port .reg16[0;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1] is incremented and .reg8[0;1] is decremented. If .reg8[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110110111010			indr			2		2F+(1R+1W+1)*b				-*----*-	A byte from port .reg16[0;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1] and .reg8[0;1] are decremented. If .reg8[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110111000010			inirx			2		2F+(1R+1W+1)*bc				-*----*-	A byte from port .reg16[1;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1] is incremented and .reg24[0;1] is decremented. If .reg24[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110111001010			indrx			2		2F+(1R+1W+1)*bc				-*----*-	A byte from port .reg16[1;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1] and .reg24[0;1] are decremented. If .reg24[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.

1110110110000011			otim			2		2F+1R+1W+1				?*-?-?*?	The byte of memory pointed to by .reg24[2;1] is written to port .reg8[1;1]. Then .reg24[2;1] and .reg8[1;1] are incremented and .reg8[0;1] is decremented.
1110110110001011			otdm			2		2F+1R+1W+1				?*-?-?*?	The byte of memory pointed to by .reg24[2;1] is written to port .reg8[1;1]. Then .reg24[2;1], .reg8[0;1], and .reg8[1;1] are decremented.
1110110110010011			otimr			2		2F+(1R+1W+1)*b				?*-?-?*?	The byte of memory pointed to by .reg24[2;1] is written to port .reg8[1;1]. Then .reg24[2;1] and .reg8[1;1] are incremented .reg8[0;1] and is decremented. If .reg8[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110110011011			otdmr			2		2F+(1R+1W+1)*b				?*-?-?*?	The byte of memory pointed to by .reg24[2;1] is written to port .reg8[1;1]. Then .reg24[2;1], .reg8[0;1], and .reg8[1;1] are decremented. If .reg8[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110110100011			outi			2		2F+1R+1W+1				-*----*-	The byte of memory pointed to by .reg24[2;1] is written to port .reg16[0;1]. Then .reg24[2;1] is incremented and .reg8[0;1] is decremented.
1110110110101011			outd			2		2F+1R+1W+1				-*----*-	The byte of memory pointed to by .reg24[2;1] is written to port .reg16[0;1]. Then .reg24[2;1] and .reg8[0;1] are decremented.
1110110110110011			otir			2		2F+(1R+1W+1)*b				-*----*-	The byte of memory pointed to by .reg24[2;1] is written to port .reg16[0;1]. Then .reg24[2;1] is incremented and .reg8[0;1] is decremented. If .reg8[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110110111011			otdr			2		2F+(1R+1W+1)*b				-*----*-	The byte of memory pointed to by .reg24[2;1] is written to port .reg16[0;1]. Then .reg24[2;1] and .reg8[0;1] are decremented. If .reg8[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110111000011			otirx			2		2F+(1R+1W+1)*bc				-*----*-	The byte of memory pointed to by .reg24[2;1] is written to port .reg16[1;1]. Then .reg24[2;1] is incremented and .reg24[0;1] is decremented. If .reg24[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110111001011			otdrx			2		2F+(1R+1W+1)*bc				-*----*-	The byte of memory pointed to by .reg24[2;1] is written to port .reg16[1;1]. Then .reg24[2;1] and .reg24[0;1] are decremented. If .reg24[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.

1110110110000100			ini2			2		2F+1R+1W+1				-*----*-	A byte from port .reg16[0;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1] and .reg8[1;1] are incremented and .reg8[0;1] is decremented.
1110110110001100			ind2			2		2F+1R+1W+1				-*----*-	A byte from port .reg16[0;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1], .reg8[0;1], and .reg8[1;1] are decremented.
1110110110010100			ini2r			2		2F+(1R+1W+1)*bc				-*----*-	A byte from port .reg16[1;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1] and .reg16[1;1] are incremented and .reg24[0;1] is decremented. If .reg24[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110110011100			ind2r			2		2F+(1R+1W+1)*bc				-*----*-	A byte from port .reg16[1;1] is written to the memory location pointed to by .reg24[2;1]. Then .reg24[2;1], .reg16[1;1], and .reg24[0;1] are decremented. If .reg24[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110110100100			outi2			2		2F+1R+1W+1				-*----*-	The byte of memory pointed to by .reg24[2;1] is written to port .reg16[0;1]. Then .reg24[2;1] and .reg8[1;1] are incremented and .reg8[0;1] is decremented.
1110110110101100			outd2			2		2F+1R+1W+1				-*----*-	The byte of memory pointed to by .reg24[2;1] is written to port .reg16[0;1]. Then .reg24[2;1], .reg8[0;1], and .reg8[1;1] are decremented.
1110110110110100			oti2r			2		2F+(1R+1W+1)*bc				-*----*-	The byte of memory pointed to by .reg24[2;1] is written to port .reg16[1;1]. Then .reg24[2;1] and .reg16[1;1] are incremented and .reg24[0;1] is decremented. If .reg24[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.
1110110110111100			otd2r			2		2F+(1R+1W+1)*bc				-*----*-	The byte of memory pointed to by .reg24[2;1] is written to port .reg16[1;1]. Then .reg24[2;1], .reg16[1;1], and .reg24[0;1] are decremented. If .reg24[0;1] is not zero, this operation is repeated. Interrupts can trigger while this instruction is processing.

1110110111000111			ld i,hl			2		2F					--------	Stores the value of .reg16[2;1] into .reg8ir[0;1].
1110110111010111			ld hl,i			2		2F					SZ-0-*0-	Stores the value of (.regmb[] << 16) + .reg8ir[0;1] into .reg24[2;1].

11101101........			trap			2		2F					--------	It's a trap!


;IX BIT INSTRUCTIONS

1101110111001011........00000110	rlc (ix+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated left one bit position. The contents of bit 7 are copied to the carry flag and bit 0.
1101110111001011........00001110	rrc (ix+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated right one bit position. The contents of bit 0 are copied to the carry flag and bit 7.
1101110111001011........00010110	rl (ix+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated left one bit position. The contents of bit 7 are copied to the carry flag and the previous contents of the carry flag are copied to bit 0.
1101110111001011........00011110	rr (ix+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated right one bit position. The contents of bit 0 are copied to the carry flag and the previous contents of the carry flag are copied to bit 7.
1101110111001011........00100110	sla (ix+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted left one bit position. The contents of bit 7 are copied to the carry flag and a zero is put into bit 0.
1101110111001011........00101110	sra (ix+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted right one bit position. The contents of bit 0 are copied to the carry flag and the previous contents of bit 7 are unchanged.
1101110111001011........00111110	srl (ix+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted right one bit position. The contents of bit 0 are copied to the carry flag and a zero is put into bit 7.

1101110111001011........01...110	bit imm3,(ix+ofs8)	4		4F+1R					?Z-1-?0-	Tests bit .imm3[] of the byte of memory pointed to by .regi[] plus .ofs8[].

1101110111001011........10...110	res imm3,(ix+ofs8)	4		4F+1R+1W+1				--------	Resets bit .imm3[] of the byte of memory pointed to by .regi[] plus .ofs8[].

1101110111001011........11...110	set imm3,(ix+ofs8)	4		4F+1R+1W+1				--------	Sets bit .imm3[] of the byte of memory pointed to by .regi[] plus .ofs8[].

1101110111001011................	trap			4		4F					--------	It's a trap!


;IX PRIMARY INSTRUCTIONS

1101110100..1001			add ix,reg24		2		2F					---H--NC	The value of .reg24[] is added to .regi[].
1101110100100001................	ld ix,imm24		5		(4+.il)F				--------	Loads .imm24[] into .regi[].
1101110100110001........		ld iy,(ix+ofs8)		3		3F+(2+.il)R				--------	Loads the word of memory pointed to by .regi[] plus .ofs8[] into .regiopp[].

1101110100100010................	ld (imm24),ix		5		(4+.il)F+(2+.l)W			--------	Stores .regi[] into the word of memory pointed to by .imm24[].
1101110100101010................	ld ix,(imm24)		5		(4+.il)F+(2+.l)R			--------	Loads the word of memory pointed to by .imm24[] into .regi[].

1101110100100011			inc ix			2		2F					--------	Adds one to .regi[].
1101110100101011			dec ix			2		2F					--------	Subtracts one from .regi[].

110111010010.100			inc reg8index		2		2F					SZ-H-VN-	Adds one to .regi8[].
1101110100110100........		inc (ix+ofs8)		3		3F+1R+1W+1				SZ-H-VN-	Adds one to the byte of memory pointed to by .regi[] plus .ofs8[].

110111010010.101			dec reg8index		2		2F					SZ-H-VN-	Subtracts one from .regi8[].
1101110100110101........		dec (ix+ofs8)		3		3F+1R+1W+1				SZ-H-VN-	Subtracts one from the byte of memory pointed to by .regi[] plus .ofs8[].

110111010010.110........		ld reg8index,imm8	3		3F					--------	Loads .imm8[] into .regi8[].
1101110100110110................	ld (ix+ofs8),imm8	4		4F+1W					--------	Stores .imm8[] to the byte of memory pointed to by .regi[] plus .ofs8[].
1101110100111110........		ld (ix+ofs8),iy		3		3F+(2+.l)W				--------	Stores .regiopp[] into the word of memory pointed to by .regi[] plus .ofs8[].

1101110100110111........		ld ix,(ix+ofs8)		3		3F+(2+.l)R				--------	Loads the word of memory pointed to by .regi[] plus .ofs8[] into .regi[].
1101110100..0111........		ld reg24,(ix+ofs8)	3		3F+(2+.l)R				--------	Loads the word of memory pointed to by .regi[] plus .ofs8[] into .reg24[].
1101110100111111........		ld (ix+ofs8),ix		3		3F+(2+.l)W				--------	Stores .regi[] into the word of memory pointed to by .regi[] plus .ofs8[].
1101110100..1111........		ld (ix+ofs8),reg24	3		3F+(2+.l)W				--------	Stores .reg24[] into the word of memory pointed to by .regi[] plus .ofs8[].

1101110101...110........		ld reg8,(ix+ofs8)	3		3F+1R					--------	Loads the byte of memory pointed to by .regi[] plus .ofs8[] into .reg8[].
1101110101110...........		ld (ix+ofs8),reg8	3		3F+1W					--------	Stores .reg8[] to the byte of memory pointed to by .regi[] plus .ofs8[].
1101110101...10.			ld reg8,reg8index	2		2F					--------	The contents of .regi8[] are loaded into .reg8[].
110111010110....			ld reg8index,reg8	2		2F					--------	The contents of .reg8[] are loaded into .regi8[].

110111011000010.			add a,reg8index		2		2F					SZ-H-VNC	Adds .regi8[] to .reg8[7;1].
1101110110000110........		add a,(ix+ofs8)		3		3F+1R					SZ-H-VNC	Adds the byte of memory pointed to by .regi[] plus .ofs8[] to .reg8[7;1].
110111011000110.			adc a,reg8index		2		2F					SZ-H-VNC	Adds .regi8[] and the carry flag to .reg8[7;1].
1101110110001110........		adc a,(ix+ofs8)		3		3F+1R					SZ-H-VNC	Adds the byte of memory pointed to by .regi[] plus .ofs8[] and the carry flag to .reg8[7;1].
110111011001010.			sub a,reg8index		2		2F					SZ-H-VNC	Subtracts .regi8[] from .reg8[7;1].
1101110110010110........		sub a,(ix+ofs8)		3		3F+1R					SZ-H-VNC	Subtracts the byte of memory pointed to by .regi[] plus .ofs8[] from .reg8[7;1].
110111011001110.			sbc a,reg8index		2		2F					SZ-H-VNC	Subtracts .regi8[] and the carry flag from .reg8[7;1].
1101110110011110........		sbc a,(ix+ofs8)		3		3F+1R					SZ-H-VNC	Subtracts the byte of memory pointed to by .regi[] plus .ofs8[] and the carry flag from .reg8[7;1].
110111011010010.			and a,reg8index		2		2F					SZ-1-P00	Bitwise AND on .reg8[7;1] with .regi8[].
1101110110100110........		and a,(ix+ofs8)		3		3F+1R					SZ-1-P00	Bitwise AND on .reg8[7;1] with the byte of memory pointed to by .regi[] plus .ofs8[].
110111011010110.			xor a,reg8index		2		2F					SZ-0-P00	Bitwise XOR on .reg8[7;1] with .regi8[].
1101110110101110........		xor a,(ix+ofs8)		3		3F+1R					SZ-0-P00	Bitwise XOR on .reg8[7;1] with the byte of memory pointed to by .regi[] plus .ofs8[].
110111011011010.			or a,reg8index		2		2F					SZ-0-P00	Bitwise OR on .reg8[7;1] with .regi8[].
1101110110110110........		or a,(ix+ofs8)		3		3F+1R					SZ-0-P00	Bitwise OR on .reg8[7;1] with the byte of memory pointed to by .regi[] plus .ofs8[].
110111011011110.			cp a,reg8index		2		2F					SZ-H-VNC	Subtracts .regi8[] from .reg8[7;1] and affects flags according to the result. .reg8[7;1] is not modified.
1101110110111110........		cp a,(ix+ofs8)		3		3F+1R					SZ-H-VNC	Subtracts the byte of memory pointed to by .regi[] plus .ofs8[] from .reg8[7;1] and affects flags according to the result. .reg8[7;1] is not modified.

1101110111100001			pop ix			2		2F+(2+.l)R				--------	The word of memory pointed to by .reg24[3;1] is stored into .regi[] and .reg24[3;1] is incremented by the word size.
1101110111101001			jp (ix)			2		4F					--------	Loads the value of .regi[] into .regpc[].
1101110111111001			ld sp,ix		2		2F					--------	Loads the value of .regi[] into .reg24[3;1].

;1101110111001011			IX BIT INSTRUCTIONS
1101110111100011			ex (sp),ix		2		2F+(2+.l)R+(2+.l)W			--------	Exchanges the word of memory pointed to by .reg24[3;1] with .regi[].

1101110111100101			push ix			2		2F+(2+.l)W				--------	.reg24[3;1] is decremented by the word size and .regi[] is stored into the word of memory pointed to by .reg24[3;1].

11011101........			trap			2		2F					--------	It's a trap!


;IY BIT INSTRUCTIONS

1111110111001011........00000110	rlc (iy+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated left one bit position. The contents of bit 7 are copied to the carry flag and bit 0.
1111110111001011........00001110	rrc (iy+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated right one bit position. The contents of bit 0 are copied to the carry flag and bit 7.
1111110111001011........00010110	rl (iy+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated left one bit position. The contents of bit 7 are copied to the carry flag and the previous contents of the carry flag are copied to bit 0.
1111110111001011........00011110	rr (iy+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is rotated right one bit position. The contents of bit 0 are copied to the carry flag and the previous contents of the carry flag are copied to bit 7.
1111110111001011........00100110	sla (iy+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted left one bit position. The contents of bit 7 are copied to the carry flag and a zero is put into bit 0.
1111110111001011........00101110	sra (iy+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted right one bit position. The contents of bit 0 are copied to the carry flag and the previous contents of bit 7 are unchanged.
1111110111001011........00111110	srl (iy+ofs8)		4		4F+1R+1W+1				SZ-0-P0C	The byte of memory pointed to by .regi[] plus .ofs8[] is shifted right one bit position. The contents of bit 0 are copied to the carry flag and a zero is put into bit 7.

1111110111001011........01...110	bit imm3,(iy+ofs8)	4		4F+1R					?Z-1-?0-	Tests bit .imm3[] of the byte of memory pointed to by .regi[] plus .ofs8[].

1111110111001011........10...110	res imm3,(iy+ofs8)	4		4F+1R+1W+1				--------	Resets bit .imm3[] of the byte of memory pointed to by .regi[] plus .ofs8[].

1111110111001011........11...110	set imm3,(iy+ofs8)	4		4F+1R+1W+1				--------	Sets bit .imm3[] of the byte of memory pointed to by .regi[] plus .ofs8[].

1111110111001011................	trap			4		4F					--------	It's a trap!


;IY PRIMARY INSTRUCTIONS

1111110100..1001			add iy,reg24		2		2F					---H--NC	The value of .reg24[] is added to .regi[].
1111110100100001................	ld iy,imm24		5		(4+.il)F				--------	Loads .imm24[] into .regi[].
1111110100110001........		ld ix,(iy+ofs8)		3		3F+(2+.il)R				--------	Loads the word of memory pointed to by .regi[] plus .ofs8[] into .regiopp[].

1111110100100010................	ld (imm24),iy		5		(4+.il)F+(2+.l)W			--------	Stores .regi[] into the word of memory pointed to by .imm24[].
1111110100101010................	ld iy,(imm24)		5		(4+.il)F+(2+.l)R			--------	Loads the word of memory pointed to by .imm24[] into .regi[].

1111110100100011			inc iy			2		2F					--------	Adds one to .regi[].
1111110100101011			dec iy			2		2F					--------	Subtracts one from .regi[].

111111010010.100			inc reg8index		2		2F					SZ-H-VN-	Adds one to .regi8[].
1111110100110100........		inc (iy+ofs8)		3		3F+1R+1W+1				SZ-H-VN-	Adds one to the byte of memory pointed to by .regi[] plus .ofs8[].

111111010010.101			dec reg8index		2		2F					SZ-H-VN-	Subtracts one from .regi8[].
1111110100110101........		dec (iy+ofs8)		3		3F+1R+1W+1				SZ-H-VN-	Subtracts one from the byte of memory pointed to by .regi[] plus .ofs8[].

111111010010.110........		ld reg8index,imm8	3		3F					--------	Loads .imm8[] into .regi8[].
1111110100110110................	ld (iy+ofs8),imm8	4		4F+1W					--------	Stores .imm8[] to the byte of memory pointed to by .regi[] plus .ofs8[].
1111110100111110........		ld (iy+ofs8),ix		3		3F+(2+.l)W				--------	Stores .regiopp[] into the word of memory pointed to by .regi[] plus .ofs8[].

1111110100110111........		ld iy,(iy+ofs8)		3		3F+(2+.l)R				--------	Loads the word of memory pointed to by .regi[] plus .ofs8[] into .regi[].
1111110100..0111........		ld reg24,(iy+ofs8)	3		3F+(2+.l)R				--------	Loads the word of memory pointed to by .regi[] plus .ofs8[] into .reg24[].
1111110100111111........		ld (iy+ofs8),iy		3		3F+(2+.l)W				--------	Stores .regi[] into the word of memory pointed to by .regi[] plus .ofs8[].
1111110100..1111........		ld (iy+ofs8),reg24	3		3F+(2+.l)W				--------	Stores .reg24[] into the word of memory pointed to by .regi[] plus .ofs8[].

1111110101110110			trap			2		2F					--------	It's a trap!
1111110101...110........		ld reg8,(iy+ofs8)	3		3F+1R					--------	Loads the byte of memory pointed to by .regi[] plus .ofs8[] into .reg8[].
1111110101110...........		ld (iy+ofs8),reg8	3		3F+1W					--------	Stores .reg8[] to the byte of memory pointed to by .regi[] plus .ofs8[].
1111110101...10.			ld reg8,reg8index	2		2F					--------	The contents of .regi8[] are loaded into .reg8[].
111111010110....			ld reg8index,reg8	2		2F					--------	The contents of .reg8[] are loaded into .regi8[].

111111011000010.			add a,reg8index		2		2F					SZ-H-VNC	Adds .regi8[] to .reg8[7;1].
1111110110000110........		add a,(iy+ofs8)		3		3F+1R					SZ-H-VNC	Adds the byte of memory pointed to by .regi[] plus .ofs8[] to .reg8[7;1].
111111011000110.			adc a,reg8index		2		2F					SZ-H-VNC	Adds .regi8[] and the carry flag to .reg8[7;1].
1111110110001110........		adc a,(iy+ofs8)		3		3F+1R					SZ-H-VNC	Adds the byte of memory pointed to by .regi[] plus .ofs8[] and the carry flag to .reg8[7;1].
111111011001010.			sub a,reg8index		2		2F					SZ-H-VNC	Subtracts .regi8[] from .reg8[7;1].
1111110110010110........		sub a,(iy+ofs8)		3		3F+1R					SZ-H-VNC	Subtracts the byte of memory pointed to by .regi[] plus .ofs8[] from .reg8[7;1].
111111011001110.			sbc a,reg8index		2		2F					SZ-H-VNC	Subtracts .regi8[] and the carry flag from .reg8[7;1].
1111110110011110........		sbc a,(iy+ofs8)		3		3F+1R					SZ-H-VNC	Subtracts the byte of memory pointed to by .regi[] plus .ofs8[] and the carry flag from .reg8[7;1].
111111011010010.			and a,reg8index		2		2F					SZ-1-P00	Bitwise AND on .reg8[7;1] with .regi8[].
1111110110100110........		and a,(iy+ofs8)		3		3F+1R					SZ-1-P00	Bitwise AND on .reg8[7;1] with the byte of memory pointed to by .regi[] plus .ofs8[].
111111011010110.			xor a,reg8index		2		2F					SZ-0-P00	Bitwise XOR on .reg8[7;1] with .regi8[].
1111110110101110........		xor a,(iy+ofs8)		3		3F+1R					SZ-0-P00	Bitwise XOR on .reg8[7;1] with the byte of memory pointed to by .regi[] plus .ofs8[].
111111011011010.			or a,reg8index		2		2F					SZ-0-P00	Bitwise OR on .reg8[7;1] with .regi8[].
1111110110110110........		or a,(iy+ofs8)		3		3F+1R					SZ-0-P00	Bitwise OR on .reg8[7;1] with the byte of memory pointed to by .regi[] plus .ofs8[].
111111011011110.			cp a,reg8index		2		2F					SZ-H-VNC	Subtracts .regi8[] from .reg8[7;1] and affects flags according to the result. .reg8[7;1] is not modified.
1111110110111110........		cp a,(iy+ofs8)		3		3F+1R					SZ-H-VNC	Subtracts the byte of memory pointed to by .regi[] plus .ofs8[] from .reg8[7;1] and affects flags according to the result. .reg8[7;1] is not modified.

1111110111100001			pop iy			2		2F+(2+.l)R				--------	The word of memory pointed to by .reg24[3;1] is stored into .regi[] and .reg24[3;1] is incremented by the word size.
1111110111101001			jp (iy)			2		4F					--------	Loads the value of .regi[] into .regpc[].
1111110111111001			ld sp,iy		2		2F					--------	Loads the value of .regi[] into .reg24[3;1].

;1101110111001011			IY BIT INSTRUCTIONS
1111110111100011			ex (sp),iy		2		2F+(2+.l)R+(2+.l)W			--------	Exchanges the word of memory pointed to by .reg24[3;1] with .regi[].

1111110111100101			push iy			2		2F+(2+.l)W				--------	.reg24[3;1] is decremented by the word size and .regi[] is stored into the word of memory pointed to by .reg24[3;1].

11111101........			trap			2		2F					--------	It's a trap!
